Ticket,Date,Time,Author,Description,Files Affected,Notes
CL-001,2025-06-17,22:00,LinDon Harris,"Initial clone of LegalCaseAIApp by Dominic Dawes to create new repository legalcaseaiapp-lhcodex.","All files","Source repo was LegalCaseAIApp (Dominic Dawes)."
CL-002,2025-06-18,02:58,LinDon Harris,"Add product spec doc","dev guides/product_spec.md",""
CL-003,2025-06-18,03:08,LinDon Harris,"Add AGENTS file with commit guidelines","AGENTS.md",""
CL-004,2025-06-18,03:16,LinDon Harris,"Clarify changelog instructions link in AGENTS","AGENTS.md",""
CL-005,2025-06-18,03:32,LinDon Harris,"Add manual tasks log instructions","AGENTS.md;dev guides/manual_tasks.csv",""
CL-006,2025-06-18,03:40,LinDon Harris,"Add ticket field to manual tasks log and record first manual task","AGENTS.md;dev guides/manual_tasks.csv",""
CL-007,2025-06-18,02:24,LinDon Harris,"Add 1L essential cases JSON file in new resource_hub folder","resource_hub/1L_essential_cases.json",""
CL-008,2025-06-18,04:20,LinDon Harris,"Add error logging for LLM failures and new unit tests","utils/supabase_utils.py;tasks/chat_tasks.py;tasks/note_tasks.py;tasks/upload_tasks.py;test/test_app.py;test/test_tasks_error.py",""
CL-009,2025-07-01,22:48,OpenAI Codex,"Document requirement that changelog descriptions use at least two sentences. This ensures each entry adequately summarizes the change.","AGENTS.md;CHANGELOG_INSTRUCTIONS.md",""
CL-010,2025-07-01,22:55,OpenAI Codex,"Revised example entry to demonstrate two-sentence changelog descriptions. This clarifies expectations for future contributions.","CHANGELOG_INSTRUCTIONS.md",""
CL-011,2025-07-02,00:00,OpenAI Codex,"Implement document streaming and batched embedding for large uploads. Added stream_documents APIs and updated chunk_and_embed_task to process in batches for memory efficiency.","utils/document_loaders/base.py;utils/document_loaders/pdf_loader.py;utils/document_loaders/pdf_ocr_loader.py;utils/document_loaders/docx_loader.py;utils/document_loaders/epub_loader.py;tasks/upload_tasks.py",""
CL-012,2025-07-12,00:00,OpenAI Codex,"Switch embedding to async and run via asyncio for chunk_and_embed_task. Added _process_and_embed helper to support non-blocking OpenAI calls.","tasks/upload_tasks.py",""
CL-013,2026-08-09,00:00,Claude Opus 5,"Cut ingest latency and hide the remainder behind live progress. Collapsed the three full file transfers per upload (download - S3 re-upload - re-download) into one by skipping the S3 round trip for URLs already on our CloudFront and handing the downloaded bytes to the parser via a content-hash keyed cache; replaced the up-to-50k-char full-document blurb prompt with a compact TOC and opening-passage synopsis; added dedicated LLM and CPU thread pools so the blurb semaphore is no longer capped at ~6 by the default executor; moved blocking psycopg2 calls off the single shared worker event loop and switched vector inserts to execute_values.","tasks/upload_tasks.py;utils/document_loaders/docling_loader.py",""
CL-014,2026-08-09,00:00,Claude Opus 5,"Navigate to /chat on submit instead of blocking on vector_embed_status COMPLETE. Added POST /new-rag-project/attach-note/ which inserts the notes stub, parks the note request in Redis and returns immediately so WeWeb can navigate, plus a try_fire_pending_note DEL-claim helper called from both the endpoint and finalize_batch_and_create_note so exactly one side dispatches rag_note_task regardless of which finishes first. Added utils/progress_events.py publishing named ingest and note stages onto the chat WebSocket channel already open on /chat, and raised the RAG barrier timeout from 12s to 90s now that users can type immediately on arrival.","app/main.py;utils/speculative_upload.py;utils/progress_events.py;tasks/upload_tasks.py;tasks/chat_tasks.py",""
CL-015,2026-08-12,00:00,Claude Opus 5,"Fix speculative-upload cancellation, which failed on every call. cancel_speculative_upload deleted from a non-existent document_chunks table so each cancel raised UndefinedTableError and returned 500 with nothing cleaned up; it now deletes document_sections and document_vector_store by source_id then document_sources by id. Its S3 cleanup was also dead twice over - delete_from_s3 did not exist in utils/s3_utils.py and was being passed a doc_id rather than an object key - so delete_from_s3 and s3_key_from_url were added and the key is now derived from the row's cdn_url, read before deletion.","utils/speculative_upload.py;utils/s3_utils.py",""
CL-016,2026-08-12,00:00,Claude Opus 5,"Add cooperative cancellation so a cancelled upload cannot resurrect itself. The worker runs with -P threads where Celery's revoke(terminate=True) cannot kill a running task, so an in-flight ingest survived cancellation and re-created the deleted document_sources row through its ON CONFLICT upsert. Cancel now raises a Redis flag before deleting anything and the ingest checks it at each phase boundary, returning a distinct CANCELLED status that finalize_batch_and_create_note excludes from both success and failure counts so a removed file cannot drag a batch to FAILED or trigger a spurious PARSE_ERROR note.","utils/speculative_upload.py;tasks/upload_tasks.py",""
CL-017,2026-08-12,00:00,Claude Opus 5,"Fix the OOM that was crash-looping the Render worker. Every call to _parse_and_chunk_docling_async constructed its own DoclingPDFLoader, so each concurrent document built its own DocumentConverter and loaded its own copy of the layout model - six simultaneous uploads produced six 'Loading weights 0/770' loads and pushed the 4GB instance over its limit. DoclingPDFLoader is now a process-wide singleton behind get_docling_loader() with double-checked locking, conversions are capped by DOCLING_PARSE_CONCURRENCY (default 1), and the startup warm-up now warms the singleton instead of a throwaway instance that was immediately garbage collected.","utils/document_loaders/docling_loader.py;utils/document_loaders/loader_factory.py;tasks/upload_tasks.py",""
CL-018,2026-08-12,00:00,Claude Opus 5,"Stop poison documents from replaying forever and lower worker concurrency. Because task_acks_late is enabled, an OOM kill left the message unacked and the broker redelivered the same documents on every restart, so the worker replayed the same six uploads for two days; the startup 'celery purge' did not help because the broker requeues unacked messages after the purge runs. Each delivery now increments a Redis counter and the document is failed permanently past MAX_INGEST_ATTEMPTS (default 3) so the message is acked and the queue drains, and the worker's --concurrency was reduced from 100 to a CELERY_CONCURRENCY-overridable default of 8.","tasks/upload_tasks.py;Dockerfile",""
CL-019,2026-08-12,00:00,Claude Opus 5,"Add memory and fan-out telemetry to the ingest pipeline so OOM incidents are diagnosable from the log alone. The previous crash loop showed six 'Loading weights' bars and nothing else - no concurrency count, no RSS, and no way to tell the six were simultaneous rather than sequential. A new utils/ingest_telemetry.py tracks in-flight documents and their peak, how many are queued behind the Docling parse cap, and RSS deltas per phase, all under a greppable [MEM] prefix; it reads the container's cgroup memory limit rather than host RAM so percentages are meaningful on Render, warns at 75 percent and 88 percent before the OOM killer strikes, and reports the one-time cost of loading the Docling converters so a regression back to per-document model loading is immediately visible.","utils/ingest_telemetry.py;tasks/upload_tasks.py;utils/document_loaders/docling_loader.py",""
CL-020,2026-08-13,00:00,Claude Opus 5,"Make the new telemetry actually visible in the worker. setup_loggers attaches a handler only to an explicit allowlist of module names and the root logger sits at WARNING when SHOW_CELERY_LOGS is false, so logger.info calls from any unlisted module were dropped silently - which hid the entire [MEM] diagnostic stream as well as the document loaders, speculative upload and progress event logs. Added utils.ingest_telemetry, utils.document_loaders, utils.speculative_upload and utils.progress_events to both the enable and disable lists.","tasks/celery_app.py",""
CL-021,2026-08-13,00:00,Claude Opus 5,"Run the Docling layout model in eager mode so parsing works without a C++ toolchain. Docling wraps RT-DETR in torch.compile and TorchInductor shells out to g++ at runtime, which the python:3.11-slim runtime image does not carry, so every page raised InvalidCxxCompiler and the conversion failed outright once the OOM stopped masking it. TORCHDYNAMO_DISABLE is now set in the Dockerfile and defensively at module import, with torch._dynamo suppress_errors as a fallback to eager; adding build-essential was rejected as it costs roughly 200MB of image and burns compile CPU and RAM on a 2-CPU 4GB worker for a modest inference speedup.","utils/document_loaders/docling_loader.py;Dockerfile",""
CL-022,2026-08-13,00:00,Claude Opus 5,"Fall back to the legacy loader when Docling parsing fails instead of losing the document. Docling is the richest path but the most fragile - it pulls in torch, a downloaded layout model and previously a C++ compiler - and any of those breaking failed the upload entirely, as two consecutive production incidents showed. A failed hierarchical parse now retries with the dependency-free legacy loader, and the steps that require hierarchical output (TOC extraction and the document_sections summaries) are gated on which parser actually succeeded rather than on the feature flag.","tasks/upload_tasks.py",""
CL-023,2026-08-13,00:00,Claude Opus 5,"Fix the ingest byte cache never being written, and stop the memory telemetry misattributing concurrent work. boto3's upload_fileobj closes the stream it is given, so caching the bytes after the S3 upload always failed with 'I/O operation on closed file' and the parser silently re-downloaded every document from CloudFront - the cache write now happens before the upload. Separately, the per-document net RSS figure is process-wide and so includes anything else running; it is now only labelled RETAINED when the document was the sole occupant, and otherwise reported as unattributable, so a busy batch no longer looks like a leak.","tasks/upload_tasks.py;utils/ingest_telemetry.py",""
